Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"220uF/10V","footprint:CP_Radial_D8.00mm_P2.50mm",""
CN1 CN2 ,2,"B2PS-VH","footprint:cn_B2PS-VH",""
CN11 CN12 CN13 CN14 CN15 CN16 CN17 CN18 ,8,"S4B-XH-A","footprint:cn_S4B-XH-A_KIRI_2-3",""
CN3 ,1,"HIF3FC-16PA-2.54DS","footprint:cn_HIF3FC-16PA-254DS",""
D1 D2 D3 D4 D5 D6 D7 D8 ,8,"1SS81-E","A01myFootPrint:D_TH_10R16",""
F1 F2 F3 F4 F5 F6 F7 F8 ,8,"3403.0010.24","footprint:f_3403_0010_24",""
L1 L2 L3 L4 L5 L6 L7 L8 ,8,"SC-01-10GS","A01myFootPrint:l_SC-01-10GS",""
PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 ,8,"6N139","footprint:ic_DIP-8_W7.62mm",""
R1 R2 R3 R4 R5 R6 R7 R8 ,8,"RSF2B 39KJ","A01myFootPrint:r_RSF2B",""
R17 R18 R19 R20 R21 R22 R23 R24 ,8,"100K","A01myFootPrint:R_TH_10R16",""
R9 R10 R11 R12 R13 R14 R15 R16 ,8,"5.1K","A01myFootPrint:R_TH_10R16",""
RD1 RD2 RD3 RD4 RD5 RD6 RD7 RD8 ,8,"HZ6C2-E","A01myFootPrint:RD_TH_10R16",""
TZ1 TZ2 TZ3 TZ4 TZ5 TZ6 TZ7 TZ8 ,8,"TND10V-221KB","A01myFootPrint:tvs_TND10V-221KB",""
