Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"22uF/16V","footprint:CP_Radial_D5.0mm_P2.00mm",""
C2 ,1,"0.1uF","footprint:C_0603",""
CN2 ,1,"B6B-XH-A","footprint:cn_B6B-XH-A",""
CN3 CN4 ,2,"B2B-XH-A","footprint:cn_B2B-XH-A",""
IC1 ,1,"74HCT04","footprint:ic_DIP-14_W7.62mm",""
JP1 ,1,"JUMPER2*1","footprint:JP_JUMPER1x2",""
K1 ,1,"AQV255","footprint:ic_DIP-6_W7.62mm",""
LED1 LED2 LED3 LED4 ,4,"GREEN","footprint:LED_D3.0mm_center",""
LED5 ,1,"RED","footprint:LED_D3.0mm_center",""
R1 R2 R3 R4 ,4,"10K","footprint:R_TH_5R08",""
R5 R6 R7 R8 R9 R10 ,6,"470","footprint:R_TH_5R08",""
