Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"220uF/10V","footprint:CP_Radial_D8.00mm_P2.50mm",""
C11 C12 C13 C14 C21 C22 C23 C24 ,8,"0.1uF","footprint:C_0603",""
C2 C3 ,2,"22uF/50V","footprint:CP_Radial_D5.0mm_P2.00mm",""
C4 C5 C10 C15 C20 C25 ,6,"10uF/50V","footprint:CP_Radial_D5.0mm_P2.00mm",""
C6 C7 C8 C9 C16 C17 C18 C19 ,8,"1000pF","footprint:C_0805",""
CN1 ,1,"B2PS-VH","footprint:cn_B2PS-VH",""
CN2 ,1,"HIF3FC-16PA-2.54DS","footprint:cn_HIF3FC-16PA-254DS",""
CN3 CN4 CN5 CN6 CN7 ,5,"S4B-XH-A","footprint:cn_S4B-XH-A",""
D1 D2 ,2,"RB160L-40","footprint:d_RB160L-40",""
FL1 FL2 FL3 FL4 FL5 FL6 FL7 FL8 FL9 FL10 FL11 FL12 FL13 FL14 FL15 FL16 ,16,"ZBF503D-00(TA)-01","footprint:fl_ZBF503D-00",""
IC1 IC2 IC3 IC4 ,4,"OP2177ARZ","footprint:SOIC-8",""
L1 L2 ,2,"LAL04SK4R7K","footprint:l_LAL04SK4R7K",""
LED1 ,1,"GREEN","footprint:LED_D3.0mm_center",""
LED2 ,1,"ORANGE","footprint:LED_D3.0mm_center",""
R1 R17 ,2,"3K","footprint:C_0603",""
R19 R20 R21 R22 R47 R48 R49 R50 ,8,"1.6K","footprint:C_0805",""
R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R18 ,16,"N.M.","footprint:C_3216",""
R23 R24 R25 R26 R39 R40 R41 R42 R43 R44 R45 R46 R51 R52 R53 R54 R67 R68 R69 R70 R71 R72 R73 R74 ,24,"N.M.","footprint:C_0805",""
R27 R28 R29 R30 R31 R32 R33 R34 R55 R56 R57 R58 R59 R60 R61 R62 ,16,"0","footprint:C_0805",""
R35 R36 R37 R38 R63 R64 R65 R66 ,8,"2K","footprint:C_0805",""
TP1 TP3 TP5 TP6 TP7 TP8 TP9 TP11 TP12 TP13 TP14 ,11,"LC-2-G","footprint:tp_LC-2-G",""
TP2 TP4 TP10 TP15 ,4,"ST-2-1","footprint:tp_LC-2-G",""
TVS1 TVS2 TVS3 TVS4 TVS5 TVS6 TVS7 TVS8 ,8,"ZS1018","footprint:d_ZS1018",""
U1 ,1,"CCG3-12-15DF","footprint:u_CCG3-12-15DF",""
U2 ,1,"CC3-0512DF-E","footprint:u_CC3-0512SF-E",""
