Reference, Quantity, Value,•”•i, Footprint, Datasheet
C1 ,1,470uF/35V,KMG35VB470M,A01myFootPrint:CP_Radial_D10.0mm_P5.00mm,
C10 C8 ,2,10pF,GRM1885C1H100JA01D,A01myFootPrint:C_0603,
C2 C3 ,2,22uF/50V,KRM55TR71H226MH01K,A01myFootPrint:c_KRM55TR71H226MH01K,
C23 C34 C42 C46 ,4,4.7uF,LMK107BJ475KA-T,A01myFootPrint:C_0603,
C32 C33 ,2,13pF,GRM1885C1H130JA01D,A01myFootPrint:C_0603,
C4 ,1,150pF/3KV,C4532C0G3F151K160KA,A01myFootPrint:c_4532,
C40 C44 ,2,0.01uF,GRM188B11H103KA01D,A01myFootPrint:C_0603,
C47 C48 ,2,6800pF,C1608C0G1H682J08AA,A01myFootPrint:C_0603,
C49 ,1,22000pF,GRM188R71H223KA01D,A01myFootPrint:C_0603,
C5 ,1,220uF/10V,EKMG100ELL221MF11D,A01myFootPrint:CP_Radial_D6.50mm_P2.50mm,
C50 ,1,1000pF/3kV,HV1812Y102KXHATHV,A01myFootPrint:c_4532,
C11 C12  C15  C18 C19 C20 C21 C22 C24 C25 C26 C27 C28 C29 C30 C31 C35 C36 C37 C38 C39 C41 C43 C45 C51 C6 ,26,0.1uF,C0603C104Z3VACTU,A01myFootPrint:C_0603,
C13 C14 C16 C17,4,0.22uF,GRM188B11C224KA01D,,
C7 ,1,22uF/16V,EKMG160ELL220ME11D,A01myFootPrint:CP_Radial_D5.0mm_P2.00mm,
C9 ,1,1uF,0603YD105KAT2A,A01myFootPrint:C_0603,
CN1 CN5 ,2,1844223,1844223,A01myFootPrint:cn_1844223,
CN10 CN11 CN14 CN15 ,4,1844252,1844252,A01myFootPrint:cn_1844252,
CN16 ,1,J1B1211CCD,J1B1211CCD,A01myFootPrint:J1B1211CCD,
CN17 CN2 ,2,B2B-XH-A,B2B-XH-A,A01myFootPrint:cn_B2B-XH-A,
CN3 ,1,S7B-XH-A,S7B-XH-A,A01myFootPrint:cn_S7B-XH-A,
