Reference, Quantity, Value, Footprint, Datasheet
BZ1 ,1,"PKM13EPYH4000-A0","footprint:bz_PKM13EPYH4000-A0",""
C1 C2 ,2,"100pF","footprint:C_0603",""
C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 ,15,"1uF/16V","footprint:CP_Radial_D5.0mm_P2.00mm",""
C3 ,1,"470uF/10V","footprint:CP_Radial_D8.25mm_P3.80mm",""
C4 ,1,"10uF","footprint:C_0805",""
C5 ,1,"0.1uF","footprint:C_0603",""
CN1 ,1,"MJ-179P","footprint:cn_MJ-179P",""
CN2 ,1,"DM1AA-SF-PEJ","footprint:cn_HRS_DM1AA-SF-PEJ(21)",""
CN3 ,1,"USB B","footprint:cn_USB_B",""
CN4 CN5 CN6 CN7 CN8 CN9 ,6,"S3B-XH-A","footprint:cn_S3B-XH-A",""
D1 D2 ,2,"RB160L-40TE25","footprint:d_SX34F",""
D3 ,1,"SP0503BAHTG","footprint:d_SP0503BAHT",""
IC1 IC2 IC3 ,3,"ADM232L","footprint:ic_DIP-16_W7.62mm",""
L1 ,1,"22uH","footprint:l_NR3010",""
LCD1 ,1,"AL12832AWWB-H-U02","footprint:lcd_AL12832AWWB-H-U02",""
LED1 ,1,"BLUE","footprint:C_0603",""
LED2 ,1,"GREEN","footprint:C_0603",""
LED3 ,1,"RED","footprint:C_0603",""
PCB1 ,1,"NUCLEO6-F446RE","footprint:pcb_Nucleo_Extension_001",""
R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R14 R15 ,12,"10K","footprint:C_0603",""
R11 R12 ,2,"4.7K","footprint:C_0603",""
R13 R17 R18 R19 R20 ,5,"1K","footprint:C_0603",""
R16 ,1,"470","footprint:C_0603",""
R21 R22 ,2,"27","footprint:C_0603",""
R23 R24 ,2,"1.5K","footprint:C_0603",""
R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37 ,12,"100","footprint:C_0603",""
SW1 SW2 ,2,"S-2030A","footprint:sw_S-2030A",""
SW3 SW4 ,2,"SKHHBY","footprint:sw_SKHHBY",""
SW5 ,1,"A6TR-2104","footprint:sw_A6TR-2104",""
